timestamp_us,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps
18293790,1010.04,6.95,-65.76,-420.0,280.0,70.0
18302789,1011.26,5.61,-67.1,-350.0,140.0,0.0
18309789,1010.16,6.1,-65.64,-280.0,350.0,0.0
18318789,1010.65,4.76,-68.08,-140.0,70.0,0.0
18327789,1011.38,6.34,-67.1,140.0,140.0,0.0
18334790,1010.16,5.61,-66.73,420.0,70.0,0.0
18343788,1011.14,7.2,-66.12,420.0,210.0,0.0
18350790,1010.65,7.69,-64.29,140.0,210.0,0.0
18359789,1012.23,7.81,-66.49,-210.0,350.0,0.0
18368788,1010.77,6.83,-65.64,-420.0,420.0,0.0
18375789,1010.89,5.25,-67.95,-420.0,350.0,70.0
18384788,1010.4,5.12,-67.95,-70.0,350.0,0.0
18393789,1011.01,7.08,-65.64,0.0,420.0,0.0
18400790,1008.94,5.86,-64.05,-140.0,210.0,0.0
18409789,1013.45,6.83,-69.91,0.0,280.0,0.0
18416790,1010.4,6.71,-64.05,140.0,350.0,0.0
18425789,1010.89,6.59,-68.08,0.0,70.0,0.0
18434788,1011.14,6.95,-66.25,-210.0,280.0,0.0
18441790,1011.14,7.69,-65.15,-420.0,420.0,0.0
18450789,1009.67,3.54,-67.95,-420.0,140.0,0.0
18457789,1011.87,4.76,-70.39,70.0,280.0,0.0
18466789,1009.31,4.39,-64.42,420.0,210.0,0.0
18475789,1011.26,6.83,-67.34,630.0,-140.0,70.0
18482789,1011.26,7.08,-67.47,420.0,280.0,0.0
18491789,1010.65,7.69,-64.42,0.0,210.0,0.0
18500788,1013.21,9.03,-66.0,-420.0,280.0,0.0
18507789,1011.26,10.86,-61.85,-1540.0,700.0,0.0
18516788,1010.77,4.64,-69.42,-2100.0,840.0,70.0
18523789,1010.16,0.73,-72.96,-980.0,910.0,0.0
18532789,1011.14,5.25,-67.34,-70.0,840.0,0.0
18541788,1006.26,6.22,-57.46,-70.0,140.0,0.0
18548789,1011.87,-0.49,-77.84,1050.0,-350.0,0.0
18557789,1013.33,9.52,-66.37,2170.0,-350.0,0.0
18566788,1009.79,12.32,-56.0,420.0,560.0,0.0
18573789,1014.67,13.05,-63.56,-1190.0,-140.0,0.0
18582788,1008.45,2.07,-66.49,-1890.0,560.0,70.0
18589790,1012.72,4.15,-76.01,-630.0,210.0,70.0
18598788,1011.62,7.32,-65.76,-210.0,560.0,70.0
18607788,1009.43,10.98,-51.61,-2100.0,1260.0,70.0
18614789,1011.99,-4.27,-83.94,-700.0,-1050.0,-70.0
18623788,1007.35,-0.24,-71.0,1680.0,420.0,0.0
18630789,1014.8,15.25,-62.1,1890.0,-350.0,0.0
18639788,1010.65,9.27,-63.44,0.0,490.0,0.0
18648788,1010.16,3.42,-68.44,-140.0,350.0,0.0
18655789,1011.01,5.73,-67.83,420.0,280.0,0.0
18664789,1011.26,6.47,-65.39,560.0,140.0,70.0
18673789,1011.26,5.61,-68.69,420.0,210.0,0.0
18680790,1011.75,8.17,-64.54,630.0,-70.0,0.0
18689789,1010.65,5.98,-68.81,140.0,420.0,0.0
18696789,1010.53,5.12,-66.73,630.0,280.0,0.0
18705789,1011.99,8.05,-66.86,560.0,210.0,0.0
18714789,1011.14,7.56,-64.66,-70.0,350.0,0.0
18721790,1010.53,5.86,-68.08,-210.0,280.0,0.0
18730789,1010.4,5.49,-67.47,-70.0,280.0,0.0
18737790,1011.01,6.59,-64.9,0.0,280.0,0.0
18746789,1011.5,8.54,-65.88,-210.0,280.0,0.0
18755788,1013.58,4.88,-70.52,-70.0,210.0,0.0
18762790,1006.5,5.98,-61.0,-140.0,490.0,70.0
18771789,1011.87,7.44,-66.73,-1120.0,420.0,0.0
18780789,1011.01,2.81,-73.2,-210.0,140.0,0.0
18787789,1008.94,1.95,-67.1,770.0,280.0,0.0
18796788,1011.75,8.54,-65.51,1260.0,-210.0,0.0
18803790,1012.6,10.61,-62.83,210.0,210.0,0.0
18812788,1010.77,9.52,-62.59,-840.0,280.0,0.0
18821789,1012.23,7.08,-66.73,-1680.0,420.0,70.0
18828790,1009.79,3.66,-69.3,-1330.0,490.0,0.0
18837788,1010.53,3.05,-69.3,-560.0,350.0,0.0
18844790,1009.79,2.81,-69.66,420.0,210.0,0.0
18853789,1010.16,6.71,-66.49,770.0,140.0,0.0
18862789,1012.23,7.81,-65.15,630.0,140.0,0.0
18869790,1011.38,9.03,-63.44,0.0,280.0,70.0
18878789,1011.5,7.69,-64.66,-700.0,420.0,0.0
18887789,1011.01,5.25,-68.93,-700.0,350.0,0.0
18894789,1009.67,5.37,-68.44,-350.0,350.0,0.0
18903789,1010.4,4.15,-66.49,140.0,140.0,0.0
18910790,1011.62,6.1,-66.98,210.0,280.0,0.0
18919788,1011.26,8.05,-65.15,140.0,140.0,0.0
18928789,1010.4,4.51,-68.56,-140.0,280.0,0.0
18935789,1010.4,5.98,-66.25,140.0,350.0,0.0
18944788,1010.04,5.98,-65.15,70.0,140.0,0.0
18951789,1013.21,6.83,-70.15,210.0,210.0,0.0
18960789,1008.57,7.81,-61.24,0.0,350.0,0.0
18969789,1011.5,6.95,-68.69,-210.0,0.0,0.0
18976789,1010.77,6.22,-68.44,-210.0,630.0,0.0
18985789,1008.94,5.12,-62.95,-70.0,70.0,0.0
18994788,1011.75,6.1,-71.0,-140.0,210.0,0.0
19001790,1010.16,6.95,-64.05,-70.0,420.0,0.0
19010788,1010.89,5.86,-67.59,0.0,0.0,0.0
19017790,1012.36,7.93,-66.98,0.0,350.0,0.0
19026788,1010.04,5.86,-64.17,-280.0,210.0,0.0
19035788,1012.11,7.56,-70.27,-420.0,280.0,0.0
19042790,1008.82,3.9,-65.51,-350.0,350.0,0.0
19051788,1010.89,6.47,-68.44,70.0,70.0,0.0
19060788,1011.5,6.71,-67.59,0.0,350.0,0.0
19067789,1010.77,6.95,-65.76,0.0,210.0,0.0
19076789,1010.89,6.34,-67.34,-140.0,210.0,0.0
19083790,1011.14,6.47,-66.12,-210.0,350.0,0.0
19092788,1010.65,4.51,-67.71,-70.0,280.0,0.0
19101789,1010.53,5.12,-67.71,70.0,350.0,0.0
19108789,1011.5,6.59,-66.61,210.0,210.0,0.0
19117789,1011.01,6.22,-66.37,0.0,280.0,0.0
19124789,1010.65,6.22,-65.64,-70.0,280.0,0.0
19133789,1011.38,6.1,-66.49,-140.0,210.0,0.0
19142788,1011.5,5.98,-66.0,-70.0,280.0,0.0
19149790,1010.89,6.34,-65.64,-70.0,280.0,0.0
19158788,1010.89,5.98,-68.93,-140.0,280.0,0.0
19167789,1010.77,5.61,-68.08,-70.0,350.0,70.0
19174789,1010.53,7.81,-64.42,-70.0,210.0,70.0
19183789,1010.53,5.73,-67.47,0.0,140.0,70.0
19190789,1009.92,7.81,-66.37,-280.0,350.0,0.0
19199788,1010.04,6.59,-66.86,-280.0,210.0,70.0
19208788,1010.89,5.86,-68.08,-350.0,350.0,70.0
19215789,1010.53,5.61,-66.73,-70.0,280.0,-70.0
